CUST NO. ,  XCOORD.   ,YCOORD.,PROFIT,READY TIME,DUE TIME
126,9.823641154275336,5.776243397483577,359.5815268669536,72,370
127,34.254143068865645,24.19016927489754,129.74205861785455,54,263
128,23.239794676668634,25.39349640146764,402.61221550766686,35,263
129,9.428739261854075,44.98387934932265,299.987957565222,16,277
130,32.10699382103254,20.702583545190862,491.893157009375,28,82
131,14.310809375079952,17.447517263997852,378.3838918127707,43,275
132,20.8911896513428,27.64566564252697,464.5038590406297,22,163
133,32.94322853529339,36.431644971153126,417.9592127653957,58,241
134,34.044555668344785,0.3719025866497916,143.08486525010866,55,264
135,42.62936242363869,0.9008458880154058,309.71549644363864,5,279
136,48.83603951761079,45.735444224709994,152.2025884850661,44,265
137,5.668098134123567,22.358396940571758,150.64405473071108,94,392
138,23.676640185576588,44.2702892609755,127.31934764504359,51,264
139,32.40813462794741,39.45541353420299,469.2923309955581,73,195
140,31.269251435155237,7.334298550766577,189.73918424839138,83,221
141,25.82168844156344,47.76574279864802,228.41292650070514,71,199
142,2.2709408078042337,26.669378965125123,116.07422745872817,31,226
143,24.835605062036215,47.64819572048945,170.0467756539673,87,257
144,39.300279170029576,5.678910411953036,442.7407181868404,32,182
145,42.224801365277706,33.225175362815065,289.52326583979516,19,234
146,32.19817051799348,27.337547990649558,480.294705831947,87,191
147,26.097988528946036,45.88226619611993,202.63063158652218,22,274
148,41.540883463256826,7.808965939143081,267.55189792698394,90,250
149,33.79517869649067,14.473834388931683,335.2547641465494,83,192
150,46.74109613800994,31.700320994262217,435.4762459148416,77,307
151,39.88767730677189,34.34991195316319,483.9907771075505,22,178
152,27.803643462282906,43.75527821151676,453.2805833594497,77,359
153,9.826981897673104,40.68900511930189,176.93852595512539,34,130
154,37.33974239982997,11.802103910665036,218.3986269849526,59,137
155,6.820204253064749,35.015488010366106,339.8341690398535,99,354
156,37.95837616614503,33.16948485050611,394.4624373068995,49,201
157,12.455099652914903,31.167904559414712,129.6311361323511,70,176
158,22.670038242134787,9.71918691841151,282.705786906887,59,254
159,16.8979341737644,49.7709525894431,175.9272315562791,27,184
160,48.36148384611818,36.31404352509096,411.2429157659318,99,350
161,6.248399546659289,23.52944786907254,470.7220494677847,49,170
162,39.442317887972465,12.713055424701336,386.1505627134629,60,189
163,22.75058431072518,2.0615953772148696,405.10305864880286,11,250
164,39.21745406823937,18.532001025095283,475.7651301684361,63,143
165,32.39168482085312,47.95990167956297,329.2844839373846,82,187
166,41.46601354398784,31.85421914368165,477.95941794431025,97,242
167,12.069656666605722,49.36114763199582,369.7771322361521,4,280
168,46.682064092142284,19.53604848054782,165.23126131593625,100,263
169,1.5185913808663687,40.026075973989585,327.29956130580626,60,272
170,45.555896779743144,29.495810048559886,249.85212417189337,100,188
171,7.3048803022562,27.209503314148442,212.0154893552527,38,192
172,5.427349797306863,6.366790797676797,211.00007378182934,78,157
173,43.917913268602376,17.31399637701589,240.99591373553957,55,294
174,1.6967571914710933,8.684679745259983,165.66487739869478,99,150
175,39.1860086880043,20.995526383975587,421.5725610007329,23,305
176,21.949406236020764,19.658208272621675,254.8435428217359,46,185
177,36.7260265472926,6.70748865727756,455.02177003561934,9,205
178,42.06627354505819,5.527715352636159,327.9502760550162,61,267
179,9.799378528339957,7.604749984157233,353.9219289214813,26,316
180,47.090810346842495,38.24306351123575,130.11785084896758,19,103
181,20.561418159841978,27.50975597836256,308.42289197086234,60,244
182,15.126238988604202,26.984525430261876,202.33598122094946,66,151
183,5.407129105623448,8.021245889831258,398.31497239607324,99,330
184,34.82798799774011,8.95755043094184,269.5262191957263,91,336
185,45.438270361777704,18.437319686540288,117.34244676180646,43,276
186,19.12798981870673,8.101855346314895,401.0019052661955,96,295
187,47.92283201965227,13.31566471344744,156.49747027493066,33,178
188,19.810093371915883,20.190456679095988,227.33819166184088,35,149
189,33.303440592157415,49.58397778703404,178.2738269084184,98,279
190,32.929680501018524,14.477730300551894,495.50773799468465,81,306
191,27.17027088703657,16.874304801945357,404.4544771498095,59,160
192,14.673605360103254,10.80747818769744,218.68615565126595,24,115
193,9.920221615931869,5.249063661749603,267.05694249439864,75,130
194,11.07050171308433,0.0007485553879693629,221.23602066325213,23,213
195,46.27677465121138,47.38726514465665,404.771071804463,29,137
196,38.31496567798219,26.215729337385824,328.76956429487353,20,111
197,24.012084018930018,44.88228436438681,492.2302149375044,40,337
198,17.26270116124795,49.540249252877494,128.1590223507421,24,221
199,28.94286669242313,10.87308196365252,484.38951991768226,35,216
200,32.33401947361915,13.61787641183812,333.99529452317984,14,128
